iter	Passed	Remaining
0	19	1905
1	73	3615
2	93	3021
3	112	2710
4	127	2420
5	142	2231
6	157	2089
7	171	1976
8	184	1869
9	199	1791
10	208	1686
11	223	1638
12	232	1558
13	245	1509
14	260	1474
15	272	1429
16	284	1389
17	295	1347
18	307	1309
19	318	1273
20	329	1240
21	341	1212
22	354	1187
23	366	1160
24	380	1140
25	391	1115
26	404	1093
27	416	1072
28	429	1051
29	439	1026
30	448	997
31	459	975
32	470	954
33	481	935
34	494	917
35	507	902
36	520	885
37	534	872
38	553	865
39	570	855
40	586	844
41	602	831
42	619	820
43	633	806
44	647	791
45	661	777
46	671	757
47	685	742
48	699	727
49	713	713
50	727	698
51	741	684
52	754	669
53	769	655
54	784	641
55	798	627
56	816	616
57	833	603
58	848	589
59	865	576
60	881	563
61	897	550
62	913	536
63	928	522
64	945	509
65	962	495
66	979	482
67	997	469
68	1017	457
69	1035	443
70	1053	430
71	1069	415
72	1087	402
73	1103	387
74	1114	371
75	1127	355
76	1141	340
77	1159	327
78	1174	312
79	1190	297
80	1207	283
81	1232	270
82	1250	256
83	1267	241
84	1286	227
85	1303	212
86	1321	197
87	1337	182
88	1351	167
89	1367	151
90	1381	136
91	1396	121
92	1408	106
93	1422	90
94	1436	75
95	1450	60
96	1464	45
97	1478	30
98	1491	15
99	1506	0
